,prediction_p,perfect_p,modification_p,prediction_s,perfect_s,modification_s
0,7.335933165377715e-50,3.041056821595283e-51,9.563502550997584e-47,44309.0,45150.0,43322.0
1,2.998725855111033e-33,7.1805297953695e-35,1.6184527416528113e-28,19331.5,20100.0,18743.0
2,4.162489765721299e-91,2.987217890385296e-100,7.901520372515131e-95,172916.5,180300.0,176212.0
3,9.117430540355503e-64,1.3645832407547614e-67,3.1109038574241957e-62,76947.0,80200.0,77151.0
4,6.476553057492406e-139,3.3827057419626218e-149,7.725241421225341e-144,392811.0,405450.0,399361.0
5,2.6877989476473967e-73,6.321459504651538e-84,1.5035491694073848e-78,119764.0,125250.0,121431.0
6,3.294916839272081e-156,1.6615256557353778e-165,4.08550089707558e-161,486370.5,500500.0,493612.0
7,1.0174420905635363e-116,6.930854173279443e-133,4.388325829722454e-129,308116.5,320400.0,315955.0
8,9.81033423188664e-109,1.4323608790975338e-116,1.606738688997567e-111,239262.5,245350.0,240784.0
9,2.7637791029353846e-17,1.9481700188239655e-18,8.440663444905642e-13,4704.0,5050.0,4338.0
